,Rok,Kod stacji,Czas uśredniania,Średnia,Min,Max,Liczba pomiarów,Kompletność,Liczba Lato/Zima
87,2010,LuWsKaziWiel,24,24.085542169,4.0,184.0,331,90.68,1.21
171,2011,LuWsKaziWiel,24,23.166574586,2.7,148.0,362,99.17,0.99
261,2012,LuWsKaziWiel,24,20.425356125,1.8,125.4,350,95.62,0.92
351,2013,LuWsKaziWiel,24,22.025698324,4.2,114.3,358,98.08,0.98
437,2014,LuWsKaziWiel,24,22.603692308,4.8,93.4,325,89.04,0.8
538,2015,LuZarySzyman,24,19.588285714,4.2,134.6,350,95.89,1.1
682,2016,LuZarySzyman,24,21.243575419,3.3,119.2,358,97.81,0.96
754,2017,LuZarySzyman,24,21.56739726,5.1,131.1,365,100.0,1.01
867,2018,LuWsKaziWiel,1,22.205688315,1.48028,180.669,5496,62.73,1.5
868,2018,LuZarySzyman,1,23.29525655,0.1,271.959,1907,21.76,0.0
869,2018,LuZarySzyman,24,20.200621118,3.6,93.9,322,88.21,1.32
988,2019,LuNowaSolMOB,1,20.576340212,0.35705,327.647,8164,93.19,1.0
989,2019,LuWsKaziWiel,1,21.984611024,0.96889,280.212,8263,94.32,0.96
990,2019,LuZarySzyman,1,13.88122452,0.1058,191.2,8496,96.98,0.99
991,2019,LuZarySzyman,24,14.647671233,3.3,73.9,365,100.0,1.01
1119,2020,LuSwiebodMOB,1,16.124431808,1.19419,235.834,6842,77.89,1.75
1120,2020,LuWsKaziWiel,1,19.070845203,1.15556,276.573,6858,78.07,0.87
1121,2020,LuWsKaziWiel,24,18.273650794,4.1,65.5,315,86.06,0.89
1122,2020,LuZarySzyman,1,13.025970548,0.13509,118.315,8675,98.75,1.0
1123,2020,LuZarySzyman,24,13.040437158,2.7,63.5,366,100.0,1.0
1262,2021,LuGubinAnderMOB,1,16.775606496,0.52669,293.244,8551,97.61,1.02
1263,2021,LuWsKaziWiel,1,20.094806805,1.08558,268.591,7882,89.97,1.26
1264,2021,LuZarySzyman,1,14.367279761,0.11932,213.192,8618,98.37,0.99
1409,2022,LuNowaSolKos,24,16.331741573,4.5,72.5,356,97.53,1.06
1410,2022,LuWsKaziWiel,1,18.062778265,0.8298,271.776,8746,99.84,1.01
1411,2022,LuZarySzyman,1,10.273550499,0.11323,140.824,8392,95.79,1.08
